timestamp,station,temperature_c,humidity_pct,wind_kmh,source
2026-09-18T00:00:00,Sao Paulo,20.0,72.0,11.0,fonte_1_estacao.csv
2026-09-18T01:00:00,Sao Paulo,20.0,73.0,10.0,fonte_1_estacao.csv
2026-09-18T02:00:00,Sao Paulo,20.0,74.0,10.0,fonte_1_estacao.csv
2026-09-18T03:00:00,Sao Paulo,20.0,75.0,9.0,fonte_1_estacao.csv
2026-09-18T04:00:00,Sao Paulo,20.0,76.0,9.0,fonte_1_estacao.csv
2026-09-18T05:00:00,Sao Paulo,21.0,77.0,8.0,fonte_1_estacao.csv
2026-09-18T00:00:00,Curitiba,14.0,80.0,13.0,fonte_1_estacao.csv
2026-09-18T01:00:00,Curitiba,14.5,81.0,12.0,fonte_1_estacao.csv
2026-09-18T00:00:00,Rio de Janeiro,24.2,82.0,15.0,fonte_2_weather.csv
2026-09-18T01:00:00,Rio de Janeiro,24.0,83.0,14.0,fonte_2_weather.csv
2026-09-18T02:00:00,Rio de Janeiro,,,16.0,fonte_2_weather.csv
2026-09-18T03:00:00,Rio de Janeiro,,,17.0,fonte_2_weather.csv
2026-09-18T00:00:00,Belo Horizonte,19.8,70.0,8.0,fonte_2_weather.csv
